Filter Number,Mean Activation in Class
44,5.93373535638107
222,5.911048413405623
258,5.899888191110434
443,5.859932621777508
42,5.817095977788059
105,5.715062654544701
55,5.6790280768039505
375,5.641459296097597
289,5.592262013900995
244,5.588804556656066
26,5.580475469802755
404,5.579442355852959
154,5.57404145289105
92,5.554076353583168
487,5.525976975108845
243,5.485003933332783
445,5.478832190543803
335,5.355086901100315
123,5.334924944500045
357,5.295703476263429
32,5.262881951557686
419,5.233425111239571
67,5.2327947300906485
116,5.226848850117944
166,5.211515548592721
397,5.165145803717287
322,5.148750928086407
316,5.048186251704156
279,5.047555691265706
473,5.010730605845663
227,4.960576828820101
16,4.929769437154342
231,4.913074549769732
470,4.906931962412327
416,4.889990294816534
220,4.883414086013861
45,4.879057084696108
239,4.7671307820668325
299,4.742088821437411
359,4.702321882562715
187,4.694846374065024
391,4.692276089100975
113,4.678620470000053
292,4.640685701798845
104,4.574080453599239
253,4.571178555269737
130,4.533703185501661
423,4.531785162996619
483,4.486068807794672
208,4.480387139794288
40,4.434752622131622
268,4.429136304127046
80,4.4091330260112365
349,4.377744635096764
89,4.337431991037251
94,4.299123609041158
294,4.268326856748714
132,4.240627815889029
133,4.228070072169596
403,4.1175705239986895
265,4.106922393589731
267,4.100317963596609
201,4.052954275173525
64,4.025865247081041
486,4.0247129184743216
164,4.012903249501592
233,4.00641895950883
103,3.9941943095875847
374,3.986552966243599
459,3.9701785196895765
129,3.9075549690423133
271,3.89832895516184
119,3.8946258323802
494,3.8634710846224274
79,3.84142411912484
107,3.8402231650661958
303,3.8067275493254082
477,3.8040532914239797
501,3.8021251904337126
151,3.787525547665454
238,3.786654991627757
500,3.785056084578755
251,3.7721052331386113
466,3.7636040348453625
110,3.758463772676626
230,3.723070929587412
456,3.6913914861828254
447,3.6838944367412902
125,3.669052843221965
157,3.6572131602907225
298,3.6451142811447093
226,3.6311818012106936
388,3.5906123226832847
195,3.5357224043623696
106,3.524029068887217
437,3.5121279054736485
454,3.4461463670599883
117,3.4435633439581843
91,3.42455964743919
328,3.415158202846539
460,3.408528848352874
354,3.351709319773254
346,3.3465323662254223
174,3.320638291331097
506,3.3023438275433703
338,3.249145282947075
420,3.242755504656076
180,3.2388857642742126
436,3.1904875658355407
318,3.1717714180286047
325,3.1677635034518707
122,3.1393915442547344
37,3.135839468349773
29,3.131552642359754
468,3.114657290782079
291,3.0906416483692185
182,3.048711046921433
264,2.98900150129885
333,2.98479072457318
85,2.980017816085671
183,2.975836296090264
263,2.9622613418084156
98,2.9601457120483725
191,2.92454298246161
320,2.8381655343973953
502,2.8249069569561103
350,2.814616938453981
321,2.8138179949692286
228,2.8044143949227616
247,2.7927802931311114
194,2.751063794931593
386,2.7406900608144995
196,2.7371689303477846
496,2.7368595879107707
278,2.68813723763385
73,2.6872582525029522
185,2.654909485069134
124,2.6329272310452563
18,2.6054424148831328
441,2.592783278558881
288,2.569325988785675
344,2.5345838499197475
475,2.530734801173356
87,2.477086008882929
313,2.465788701370922
462,2.442176118433767
422,2.421714413044905
384,2.414750946784994
198,2.370335066693194
280,2.3678237401590554
58,2.3658295859695033
127,2.354232572085047
392,2.353207095559964
452,2.340815151561562
235,2.3290336727435608
438,2.3057985204008613
28,2.24859413150066
172,2.2082706325024666
305,2.1663895340971355
266,2.1653845064503576
3,2.153228383231501
70,2.110008218087299
209,2.0925936330753734
270,2.0824373834817855
148,2.073072051420758
295,2.030519592243757
406,2.0254253795630257
274,1.9735235108349334
306,1.970516871205798
324,1.9525835880320108
440,1.929567984870812
380,1.9123683625453631
61,1.9066597582997902
381,1.8587288296096993
189,1.8572625945876278
155,1.8556893460025652
480,1.854890238491179
13,1.836570710483407
252,1.8210669564828341
283,1.7965610517617108
27,1.79415879905608
261,1.7479201666813873
481,1.7459160687207285
427,1.7384627516464677
30,1.714927245595941
236,1.6752772808427319
511,1.6707509287701081
444,1.6687575261560381
505,1.6420617061087122
68,1.6406096921463946
276,1.6244281034453125
285,1.603864337101417
383,1.5650590541707892
248,1.5382949016332863
216,1.5093140957713072
358,1.4693598286296434
111,1.4562661186394248
82,1.4479137406763607
126,1.4344357793330533
369,1.4318728286122608
49,1.4198048645261263
242,1.4151872649609414
54,1.4018061775642907
492,1.372898844827441
66,1.3172012549355434
504,1.309610497765398
255,1.3026812078960335
137,1.2919083010641337
8,1.2753969260635543
398,1.2628877437637145
336,1.2563819060955255
347,1.1984589412027364
186,1.1969306617468305
152,1.17136703703844
490,1.1651303906305777
507,1.1612012990451013
402,1.1307104469711695
286,1.120486764219359
11,1.1078669805954664
450,1.1012063930688358
162,1.0851598202451147
145,1.0818843403349139
9,1.0734092386713678
464,1.0694569849915962
128,1.027469938210858
387,1.0169531055666077
371,1.0153200163710288
175,1.0135936979985158
389,0.9821792507782557
309,0.9273151392757003
479,0.9201158558906137
372,0.9058817829714116
62,0.8717216639619249
311,0.8392306130605949
249,0.8374586153449656
224,0.8270197857021276
332,0.8114492998155011
161,0.7690853291845203
12,0.7571949994612585
4,0.7503004116479024
56,0.7459563721097247
108,0.6216685892770287
409,0.6027760049915275
319,0.4620167544009475
60,0.3964952608747813
171,0.35688033074524983
138,0.343924492572216
